Time(s),PosX(m),PosY(m),VelX(m/s),VelY(m/s)
0.000,0.000,0.000,212.132,212.132
0.010,2.118,2.117,211.840,211.742
0.020,4.234,4.231,211.548,211.352
0.030,6.346,6.341,211.258,210.964
0.040,8.456,8.446,210.968,210.577
0.050,10.563,10.548,210.680,210.191
0.060,12.667,12.646,210.392,209.805
0.070,14.768,14.741,210.105,209.421
0.080,16.866,16.831,209.819,209.038
0.090,18.961,18.917,209.534,208.656
0.100,21.054,21.000,209.250,208.275
0.110,23.144,23.079,208.967,207.895
0.120,25.230,25.154,208.684,207.516
0.130,27.314,27.226,208.403,207.138
0.140,29.396,29.293,208.122,206.761
0.150,31.474,31.357,207.843,206.386
0.160,33.550,33.417,207.564,206.011
0.170,35.623,35.474,207.286,205.637
0.180,37.693,37.526,207.009,205.264
0.190,39.760,39.575,206.733,204.892
0.200,41.825,41.620,206.457,204.521
0.210,43.886,43.662,206.183,204.151
0.220,45.946,45.700,205.909,203.782
0.230,48.002,47.734,205.636,203.414
0.240,50.056,49.764,205.364,203.047
0.250,52.106,51.791,205.093,202.680
0.260,54.155,53.814,204.823,202.315
0.270,56.200,55.834,204.553,201.951
0.280,58.243,57.850,204.285,201.588
0.290,60.283,59.862,204.017,201.225
0.300,62.321,61.871,203.750,200.864
0.310,64.356,63.876,203.484,200.503
0.320,66.388,65.877,203.218,200.144
0.330,68.417,67.875,202.954,199.785
0.340,70.444,69.869,202.690,199.427
0.350,72.468,71.860,202.427,199.071
0.360,74.490,73.847,202.165,198.715
0.370,76.509,75.831,201.903,198.360
0.380,78.526,77.811,201.643,198.005
0.390,80.539,79.787,201.383,197.652
0.400,82.551,81.760,201.124,197.300
0.410,84.559,83.730,200.865,196.949
0.420,86.565,85.696,200.608,196.598
0.430,88.569,87.658,200.351,196.248
0.440,90.570,89.617,200.095,195.900
0.450,92.568,91.573,199.840,195.552
0.460,94.564,93.525,199.586,195.205
0.470,96.557,95.473,199.332,194.858
0.480,98.548,97.418,199.079,194.513
0.490,100.536,99.360,198.827,194.169
0.500,102.522,101.298,198.575,193.825
0.510,104.505,103.233,198.325,193.482
0.520,106.486,105.165,198.075,193.140
0.530,108.464,107.093,197.826,192.799
0.540,110.440,109.017,197.577,192.459
0.550,112.414,110.938,197.329,192.120
0.560,114.384,112.856,197.082,191.781
